Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000296755,MAP1B-201,47624.375,39188,9086,8436.375,0.17714405700862215,more_unique,Concordant,STAR
ENST00000247655,COX7C-201,4808.75,1108,4480,3700.75,0.7695866909279958,more_multi,Concordant,STAR
ENST00000230990,HBEGF-201,2367.471,1308,1143,1059.471,0.44751171186468597,more_unique,Concordant,STAR
ENST00000265271,RBM27-201,5776.687,3205,3947,2571.687,0.4451837186262645,more_unique,Concordant,STAR
ENST00000257527,ADAM19-201,12612.383,6924,5779,5688.383,0.4510157200268974,more_unique,Concordant,STAR
ENST00000231238,TTC1-201,3791.934,396,3656,3395.934,0.8955678026041592,more_multi,Concordant,STAR
ENST00000239231,PANK3-201,18014.436,15199,3011,2815.4360000000015,0.1562877683209178,more_unique,Concordant,STAR
ENST00000393784,ERGIC1-202,7572.564,959,6723,6613.564,0.8733586140704787,more_multi,Concordant,STAR
ENST00000315475,ZNF354C-201,1634,1634,0,0,0,all_unique_reads,Concordant,STAR
ENST00000182527,TRAM2-201,18183,18183,0,0,0,all_unique_reads,Concordant,STAR
ENST00000257770,NT5E-201,14947.683,837,15497,14110.683,0.9440046995912343,more_multi,Concordant,STAR
ENST00000002165,FUCA2-201,7138.174,6021,1151,1117.174,0.15650697223127372,more_unique,Concordant,STAR
ENST00000297293,LMTK2-201,3426,3346,80,80,0.023350846468184472,more_unique,Concordant,STAR
ENST00000652332,PDIA4-204,11365.825,873,11306,10492.825,0.9231907934531809,more_multi,Concordant,STAR
ENST00000221200,KCTD9-201,3142.936,1551,1711,1591.9360000000001,0.5065123820529595,more_multi,Concordant,STAR
ENST00000276569,ARMC1-201,6706.272,183,6589,6523.272,0.9727121118857094,more_multi,Concordant,STAR
ENST00000262215,ARFGEF1-201,9499.51,2400,7218,7099.51,0.7473553899095848,more_multi,Concordant,STAR
ENST00000276914,PLIN2-201,1437.872,1031,417,406.87200000000007,0.2829681640646734,more_unique,Concordant,STAR
ENST00000359039,KLHL9-201,3243,3243,0,0,0,all_unique_reads,Concordant,STAR
ENST00000379847,NDUFB6-203,1418.114,862,747,556.114,0.39215041950083,more_unique,Concordant,STAR
ENST00000210313,PSMD5-201,4921.313,3008,1992,1913.313,0.3887810021431273,more_unique,Concordant,STAR
ENST00000309971,GLE1-201,2772.689,1369,1409,1403.6889999999999,0.5062554797887537,more_multi,Concordant,STAR
ENST00000372348,ABL1-202,2248.858,667,5073,1581.8580000000002,0.7034050171242471,more_multi,Concordant,STAR
ENST00000381077,PUDP-201,1472.513,605,889,867.5129999999999,0.5891377529434375,more_multi,Concordant,STAR
