Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000679535,ACTG1-219,4309.011,67,21534,4242.011,0.9844511884513639,more_multi,HISAT2,HISAT2
ENST00000575087,ACTG1-207,4109.407,31,19695,4078.407,0.9924563325073423,more_multi,HISAT2,HISAT2
ENST00000368258,CCT3-203,4540.63,2,21251,4538.63,0.9995595324877825,more_multi,HISAT2,HISAT2
ENST00000676913,NCL-214,6017.527,37,23826,5980.527,0.9938512947262222,more_multi,HISAT2,HISAT2
ENST00000678131,NCL-217,5061.924,68,21980,4993.924,0.986566372786316,more_multi,HISAT2,HISAT2
ENST00000540651,ARF1-213,8427.271,697,18752,7730.271000000001,0.917292323932623,more_multi,HISAT2,HISAT2
ENST00000617832,NA,0,0,2686,0,0,NA,Kallisto,HISAT2
ENST00000627985,NA,89.8,4,680,85.8,0.955456570155902,more_multi,Kallisto,HISAT2
ENST00000450075,NA,107.955,11,306,96.955,0.8981056921865592,more_multi,Kallisto,HISAT2
ENST00000425378,NA,413.692,0,418,413.692,1,all_ambig_reads,Kallisto,HISAT2
ENST00000334352,USP16-201,0,0,5326,0,0,NA,Kallisto,HISAT2
ENST00000644117,NA,0,0,2790,0,0,NA,Kallisto,HISAT2
ENST00000379237,USP6NL-202,0,0,2572,0,0,NA,Kallisto,HISAT2
ENST00000679383,IFITM2-206,7.777,1,786,6.777,0.8714157129998714,more_multi,Kallisto,HISAT2
ENST00000339818,CFAP410-202,85.685,18,165,67.685,0.789928225477038,more_multi,Kallisto,HISAT2
ENST00000409416,COL6A2-204,0,0,13214,0,0,NA,Kallisto,HISAT2
ENST00000675440,KDM6A-221,145.763,27,498,118.763,0.8147678080171237,more_multi,Kallisto,HISAT2
ENST00000507195,CLPTM1L-208,129.732,3,741,126.732,0.9768754046804181,more_multi,Kallisto,HISAT2
ENST00000497473,IAH1-215,121.684,24,379,97.684,0.8027678248578285,more_multi,Kallisto,HISAT2
ENST00000677816,MKRN2-211,39.035,9,851,30.034999999999997,0.7694376841296272,more_multi,Kallisto,HISAT2
ENST00000507863,MARCHF6-207,224.902,0,1050,224.902,1,all_ambig_reads,Kallisto,HISAT2
ENST00000478641,INTS11-216,74.439,17,346,57.43899999999999,0.7716250889990461,more_multi,Kallisto,HISAT2
ENST00000619227,C22orf23-206,16.784,1,32,15.783999999999999,0.940419447092469,more_multi,Kallisto,HISAT2
ENST00000526913,KNL1-203,168.961,1,7276,167.961,0.9940814744230917,more_multi,Kallisto,HISAT2
ENST00000394890,P4HA1-204,0,0,6132,0,0,NA,Kallisto,HISAT2
ENST00000635990,TCF4-276,95.038,3,408,92.038,0.968433679159915,more_multi,Kallisto,HISAT2
ENST00000681011,CTSZ-222,107.307,61,1446,46.307,0.43153755113832276,more_unique,Kallisto,HISAT2
ENST00000650397,GNPNAT1-206,0,0,5834,0,0,NA,Kallisto,HISAT2
ENST00000409887,LRRC75A-202,71.613,10,287,61.613,0.8603605490623211,more_multi,Kallisto,HISAT2
ENST00000417640,NECAB1-201,1,1,0,0,0,all_unique_reads,Kallisto,HISAT2
ENST00000371205,ENTPD1-201,12.613,9,6,3.6129999999999995,0.2864504875921668,more_unique,Kallisto,HISAT2
ENST00000519674,TRPS1-209,96.795,6,444,90.795,0.938013327134666,more_multi,Kallisto,HISAT2
ENST00000638394,PRICKLE2-205,59.372,12,867,47.372,0.7978845246917738,more_multi,Kallisto,HISAT2
ENST00000594442,ZFP36-202,0,0,870,0,0,NA,Kallisto,HISAT2
